Sample description: 
Sample:   c= 2.9 mg/ml  Code: LipH_dTMDdVD_Tris
Parent(s): analysis/processed/subtracted/LipH_dTMDdVD_Tris_0019_sub.dat
 5.242410e-002  2.120628e-002  1.010548e-003
 5.520760e-002  2.111641e-002  8.935500e-004
 5.799120e-002  2.134393e-002  7.975766e-004
 6.077470e-002  2.109438e-002  7.240610e-004
 6.355820e-002  2.062441e-002  6.637169e-004
 6.634180e-002  2.125790e-002  5.974121e-004
 6.912530e-002  2.169731e-002  5.630421e-004
 7.190890e-002  2.139076e-002  5.180376e-004
 7.469240e-002  2.130976e-002  4.917131e-004
 7.747590e-002  2.153103e-002  4.581652e-004
 8.025950e-002  2.231452e-002  4.375890e-004
 8.304300e-002  2.043234e-002  4.151600e-004
 8.582660e-002  2.160848e-002  3.986121e-004
 8.861010e-002  2.094478e-002  3.747717e-004
 9.139360e-002  2.127966e-002  3.625697e-004
 9.417720e-002  2.150784e-002  3.534762e-004
 9.696070e-002  2.166060e-002  3.469969e-004
 9.974430e-002  2.174941e-002  3.262561e-004
 1.025280e-001  2.102718e-002  3.216323e-004
 1.053110e-001  2.111224e-002  3.108213e-004
 1.080950e-001  2.212981e-002  3.120205e-004
 1.108780e-001  2.096116e-002  2.976227e-004
 1.136620e-001  2.105886e-002  2.848677e-004
 1.164460e-001  2.123590e-002  2.873631e-004
 1.192290e-001  2.114371e-002  2.803229e-004
 1.220130e-001  2.117200e-002  2.762437e-004
 1.247960e-001  2.078982e-002  2.681666e-004
 1.275800e-001  2.044619e-002  2.624614e-004
 1.303630e-001  2.088554e-002  2.650834e-004
 1.331470e-001  2.126970e-002  2.571084e-004
 1.359300e-001  2.061387e-002  2.485555e-004
 1.387140e-001  2.073410e-002  2.503212e-004
 1.414970e-001  2.065429e-002  2.432544e-004
 1.442810e-001  2.040157e-002  2.450745e-004
 1.470640e-001  2.043800e-002  2.334214e-004
 1.498480e-001  2.070089e-002  2.362815e-004
 1.526320e-001  2.036423e-002  2.302120e-004
 1.554150e-001  2.037721e-002  2.278868e-004
 1.581990e-001  2.050287e-002  2.261687e-004
 1.609820e-001  2.048292e-002  2.230239e-004
 1.637660e-001  2.037620e-002  2.231748e-004
 1.665490e-001  2.038596e-002  2.194066e-004
 1.693330e-001  2.061197e-002  2.170870e-004
 1.721160e-001  2.056502e-002  2.137467e-004
 1.749000e-001  2.006748e-002  2.116073e-004
 1.776830e-001  2.023163e-002  2.109233e-004
 1.804670e-001  2.027833e-002  2.087754e-004
 1.832500e-001  1.998208e-002  2.036392e-004
 1.860340e-001  2.013139e-002  2.023725e-004
 1.888180e-001  2.005853e-002  2.013177e-004
 1.916010e-001  2.019537e-002  2.019917e-004
 1.943850e-001  1.964664e-002  1.961355e-004
 1.971680e-001  1.948314e-002  2.032247e-004
 1.999520e-001  1.965347e-002  2.025587e-004
 2.027350e-001  1.988607e-002  2.021165e-004
 2.055190e-001  1.979952e-002  2.016715e-004
 2.083020e-001  1.981992e-002  2.014928e-004
 2.110860e-001  1.923990e-002  2.038500e-004
 2.138690e-001  1.950664e-002  2.018692e-004
 2.166530e-001  1.921589e-002  1.989971e-004
 2.194370e-001  1.930283e-002  1.998253e-004
 2.222200e-001  1.895333e-002  1.973366e-004
 2.250040e-001  1.904998e-002  1.997259e-004
 2.277870e-001  1.922200e-002  1.977203e-004
 2.305710e-001  1.898529e-002  1.953772e-004
 2.333540e-001  1.915003e-002  1.969111e-004
 2.361380e-001  1.869223e-002  1.944210e-004
 2.389210e-001  1.885980e-002  1.943973e-004
 2.417050e-001  1.873467e-002  1.921708e-004
 2.444880e-001  1.875469e-002  1.926610e-004
 2.472720e-001  1.890854e-002  1.933470e-004
 2.500550e-001  1.832894e-002  1.912656e-004
 2.528390e-001  1.859821e-002  1.889302e-004
 2.556230e-001  1.861437e-002  1.887957e-004
 2.584060e-001  1.845712e-002  1.890549e-004
 2.611900e-001  1.835612e-002  1.885469e-004
 2.639730e-001  1.827362e-002  1.863330e-004
 2.667570e-001  1.820065e-002  1.843655e-004
 2.695400e-001  1.811579e-002  1.866767e-004
 2.723240e-001  1.802409e-002  1.838326e-004
 2.751070e-001  1.782778e-002  1.826904e-004
 2.778910e-001  1.788732e-002  1.832890e-004
 2.806740e-001  1.794772e-002  1.814661e-004
 2.834580e-001  1.754632e-002  1.816182e-004
 2.862420e-001  1.768348e-002  1.804291e-004
 2.890250e-001  1.760848e-002  1.778656e-004
 2.918090e-001  1.786787e-002  1.797599e-004
 2.945920e-001  1.744698e-002  1.772348e-004
 2.973760e-001  1.702289e-002  1.782420e-004
 3.001590e-001  1.724731e-002  1.747035e-004
 3.029430e-001  1.734311e-002  1.756102e-004
 3.057260e-001  1.705060e-002  1.753791e-004
 3.085100e-001  1.710697e-002  1.734739e-004
 3.112930e-001  1.713314e-002  1.741547e-004
 3.140770e-001  1.721012e-002  1.722598e-004
 3.168600e-001  1.700457e-002  1.707816e-004
 3.196440e-001  1.673079e-002  1.720022e-004
 3.224280e-001  1.680846e-002  1.686165e-004
 3.252110e-001  1.659908e-002  1.690322e-004
 3.279950e-001  1.670698e-002  1.687018e-004
 3.307780e-001  1.656740e-002  1.687316e-004
 3.335620e-001  1.611122e-002  1.674474e-004
 3.363450e-001  1.621900e-002  1.644400e-004
 3.391290e-001  1.607094e-002  1.649678e-004
 3.419120e-001  1.599700e-002  1.695908e-004
 3.446960e-001  1.617859e-002  1.726367e-004
